RN#,RANK,MOS,BDE,UNIT,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,L/N 3,BUDDY RUN,12 MILE,12 MILE RETEST,ORDER 1,PATROL 1,ORDER 2,PATROL 2,ADMIN
24,PFC,11B,2ND,D 2-14 IN,NOGO,GO,54,70,35:24:00,NOGO,GO,5-Feb,5-Jan,5-Feb,,2:58,,,,,,RPFT RETEST: 63/77/35:47/6 L/N FAIL
25,SFC,11B,2ND,D 2-14 IN,NOGO,GO,56,70,35:42:00,6,GO,5-Apr,5-Apr,5-Mar,,2:57,,,,,,RPFT RETEST: 57/76/34:45/6
28,SPC,19D,2ND,B 1-89 CAV,NOGO,GO,59,50,36:36:00,6,GO,5-Feb,5-Feb,5-Apr,,2:57,,,,,,RPFT RETEST: 57/69/33:58/6
29,1LT,13A,1ST,HHC 1-87 IN,NOGO,NOGO,58,73,38:31:00,NOGO,GO,5-Apr,5-Mar,TIME,,2:57,,,,,,RPFT RETEST: 45/68/38:40/FAIL
30,SGT,25U,2ND,HHC 2-14 IN,NOGO,NOGO,51,64,39:50:00,6,NOGO,0/5,0/5,5-Feb,,NOGO,,,,,,RPFT RETEST: 50/69/37:03/6 CWSA FAIL
33,SPC,11B,1ST,B 2-22 IN,GO,N/A,61,78,37:26:00,6,NOGO,TIME,5-Feb,5-Apr,,NOGO,,,,,,CWSA FAIL
34,PV2,11B,2ND,C 2-14 IN,NOGO,NOGO,40,50,37:52:00,NOGO,GO,TIME,0/5,5-Jan,,2:54,,,,,,RPFT RETEST: 43/65/39:01/FAIL L/N FAIL
36,PFC,68W,2ND,4-31 IN,GO,N/A,62,89,34:35:00,6,GO,5-Jan,5-Apr,5-Apr,,2:58,,,,,,
37,SSG,11B,1ST,1-87 IN,GO,N/A,66,73,37:59:00,6,GO,5-Apr,0/5,5-Mar,,2:54,,,,,,
22,PFC,13D,2ND,HHB 2-15 FA,NOGO,,51,71,36:24:00,6,GO,,,,,,,,,,,LOM DROP
26,PFC,94F,10 CAB,2-77 HSC,NOGO,,53,64,38:41:00,6,GO,,,,,,,,,,,LOM DROP
27,SGT,94F,2ND ,E 210 BSB,NOGO,,23,56,41:56:00,NOGO,,,,,,,,,,,,LOM DROP
35,SGT,11B,1ST,HHC 2-87 IN,GO,N/A,64,66,37:45:00,6,GO,,,,,,,,,,,LOM DROP
4,PFC,11B,2ND,C 2-14 IN,NOGO,,44,69,43:06:00,6,GO,5-Apr,,,,,,,,,,MED DROP
6,PFC,11B,1ST,2-87 IN,NOGO,,45,59,39:15:00,6,GO,0/5,MED,,,,,,,,,MED DROP
7,SPC,11B,2ND,C 2-14 IN,GO,N/A,58,62,38:02:00,6,GO,0/5,,,,,,,,,,MED DROP
8,PFC,94A,1ST,B 10 BSB,NOGO,,46,67,36:39:00,6,GO,MED,,,,,,,,,,MED DROP
11,PFC,11B,2ND,C 2-14 IN,NOGO,,49,58,36:38:00,6,NOGO,0/5,0/5,5-Feb,,NOGO,,,,,,
12,PFC,68W,2ND,C 2-14 IN,NOGO,,41,75,38:15:00,6,GO,5-Feb,0/5,5-Apr,,NOGO,,,,,,
14,PFC,11B,2ND,C 2-14 IN,NOGO,,39,50,37:36:00,6,GO,5-Feb,,,,,,,,,,MED DROP
16,PFC,11B,2ND,C 2-14 IN,NOGO,,45,59,38:41:00,NOGO,GO,TIME,,,,,,,,,,MED DROP
17,SFC,19D,2ND,A 1-89 CAV,NOGO,,51,74,36:40:00,6,GO,MED,,,,,,,,,,MED DROP
31,PFC,11B,2ND,A 1-89 CAV,NOGO,,56,55,42:56:00,6,GO,TIME,0/5,,,,,,,,,MED DROP
32,1LT,11A,1ST,B 2-87 IN,GO,N/A,60,77,35:44:00,6,GO,5-Feb,,,,,,,,,,MED DROP
38,PFC,11B,1ST,A 2-87 IN,NOGO,,40,55,38:30:00,6,GO,0/5,0/5,,,,,,,,,MED DROP
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1LT,74A,LFS,LFS,NOGO,N/A,46,69,39:29:00,6,,,,,,,,,,,,RPFT RETEST INSERT
,PV2,11B,2ND,C 2-14,,,,,,,,GO,,,,,,,,,,LAND NAV RETEST INSERT
,PFC,13B,2ND,2-15 FA,,,,,,,,GO,,,,,,,,,,LAND NAV RETEST INSERT
,PV2,11B,1ST,22-Feb,,,,,,,,GO,,,,,,,,,,LAND NAV RETEST INSERT
,1LT,70B,1ST  ,BSB,,,,,,,,GO,,,,,,,,,,LAND NAV RETEST INSERT
,PVT,11B,1ST,Jan-87,,,,,,,,GO,,,,,,,,,,LAND NAV RETEST INSERT
,SPC,11B,2ND,14-Feb,,,,,,,,NOGO,NOGO,GO,,,,,,,,LAND NAV RETEST INSERT
,SGT,11B,1ST,Jan-71,,,,,,,,N/A,GO,,,,,,,,,LAND NAV RETEST INSERT
,SGT,11B,2ND,C 1-89,NOGO,N/A,56,70,37:04:00,6,,,,,,,,,,,,RPFT RETEST INSERT
,PV2,19D,2ND,C 1-89,GO,N/A,58,61,39:20:00,6,,,,,,,,,,,,RPFT RETEST INSERT
,PFC,11B,1ST,22-Feb,GO,N/A,58,86,35:38:00,6,,,,,,,,,,,,RPFT RETEST INSERT
,2LT,12A,1ST,7th ENG,GO,N/A,58,70,36:39:00,6,,,,,,,,,,,,RPFT RETEST INSERT
,PV2,11B,2ND,HHC 2-14,GO,N/A,58,91,37:38:00,6,,,,,,,,,,,,RPFT RETEST INSERT
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Still in Course, no retests pending",,,,,,,,,,,,,,,,,,,,,,
Still In Course,,,,,,,,,,,,,,,,,,,,,,
Still In Course/ Failed events,,,,,,,,,,,,,,,,,,,,,,
In course for training,,,,,,,,,,,,,,,,,,,,,,
dropped from course not in course,,,,,,,,,,,,,,,,,,,,,,
MED drop. Not in course,,,,,,,,,,,,,,,,,,,,,,
