PRE-RANGER TRACKER,,,,,,,,,,,,,,,,,,,,,,
RN#,MI,RANK,GENDER,MOS,BDE,BN,UIC,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,L/N 3,12 MILE,12 MILE RETEST,Paperwork,RPFT RT,RECOMMEND
[$-409]15-Jan-00,V,2LT,M,13A,2nd,Jan-89,,pass,,63,71,36:27:00,6,,5-Apr,5-Feb,5-Apr,NO GO,2:53:34,,,RECOMMEND
[$-409]16-Jan-00,L,CPL,M,68W,3nd,Feb-30,,fail,pass,53,68,38:48:00,6,,0-5,5-Apr,0-5,NO GO,NO GO,,"rpft rt: p/u: 58, s/u:72, run:38:51, p/u:6",
[$-409]17-Jan-00,A,2LT,M,11A,3rd,Mar-89,,fail,pass,56,64,37:25:00,6,,4-5 time,5-Apr,time,2:58:30,,,"rpft rt: p/u: 62, s/u:66, run:35:30, p/u:6",RECOMMEND
[$-409]18-Jan-00,M,1LT,M,25A,2nd,210 BSB,,pass,,60,66,39:38:00,6,,5-Apr,5-Apr,5-Apr,DNF,2:47:30,,,RECOMMEND
[$-409]19-Jan-00,M,PV2,M,11B,2nd,Feb-87,,fail,fail,57,67,41:37:00,6,,4-5 time,5-Apr,5-Apr,2:59:04,,,"rpft rt: p/u:42, s/u:68, run:38:27, p/u 6",
[$-409]20-Jan-00,P,2LT,M,12A,1st,7EN,,pass,,57,75,35:58:00,6,,5-Apr,5-Jan,5-Apr,2:56:50,,,,RECOMMEND
[$-409]21-Jan-00,A,SGT,M,68W,CAB,10-Feb,,fail,fail,61,59,42:12:00,6,,5-Feb,5-Mar,5-Apr,NO GO,2:55:30,,"rpft rt: p/u:59, s/u:58, run:37:37, p/u 6",
[$-409]22-Jan-00,M,2LT,M,13A,1ST,6-Mar,,pass,,65,80,38:50:00,6,,5-Apr,5-Mar,5-Mar,NO GO,2:56:50,,,RECOMMEND
[$-409]23-Jan-00,T,2LT,M,19A,2nd,Jan-89,,pass,,60,78,39:29:00,6,,4-5 time,5-May,5-Apr,NO GO,NO GO,,,
[$-409]24-Jan-00,M,2LT,M,11A,1st,22-Feb,,fail,fail,49,68,35:22:00,6,,5-Jan,5-Jan,5-Apr,2:51:13,,,"rpft rt: p/u: 42, s/u: 67, run: 34:57, p/u: 6",
[$-409]26-Jan-00,T,1LT,M,19A,2nd,Jan-89,,fail,fail,52,76,39:35:00,6,,5-Apr,5-Mar,5-May,2:59:40,,,"rpft rt: p/u: 32, s/u: 72, run: 38:43, p/u: 6",
[$-409]27-Jan-00,Y,PV2,M,11B,2nd,Feb-87,,fail,pass,45,68,36:57:00,6,,0-5,1-5 time,0-5,NO GO,NO GO,,"rpft rt: p/u: 57, s/u: 73, run: 35:57, p/u: 6",
[$-409]28-Jan-00,L,SGT,M,11C,3rd,4-Feb,,fail,fail,55,75,42:10:00,6,,5-Apr,5-Feb,5-Mar,NO GO,NO GO,,"rpft rt: p/u: 50, s/u: 71, run: 39:38, p/u: 6",
[$-409]29-Jan-00,P,1LT,M,19A,2nd,Jan-89,,fail,fail,53,69,41:40:00,6,,5-May,5-Mar,5-Apr,NO GO,NO GO,,"rpft rt: p/u: 35, s/u: 63, run: 45:06, p/u: 6",
[$-409]30-Jan-00,C,2LT,M,11A,2nd,Feb-87,,pass,,62,68,35:16:00,6,,5-Jan,5-Apr,5-Jan,NO GO,NO GO,,,
[$-409]31-Jan-00,M,PFC,M,11B,2nd,Feb-87,,fail,pass,64,69,46:00:00,6,,5-Apr,5-May,5-May,NO GO,2:55:50,,"rpft rt: p/u: 66, s/u: 71, run: 38:33, p/u: 6",RECOMMEND
[$-409]02-Feb-00,W,SSG,M,19D,2nd,Jan-89,,fail,fail,67,63,36:40:00,6,fail,5-Jan,5-Feb,5-Feb,DNF,NO GO,,"rpft rt: p/u: 69, s/u: 61, run: 36:43, p/u: 6",
[$-409]03-Feb-00,C,SSG,M,11B,2nd,Feb-87,,pass,,62,73,38:57:00,6,,5-Apr,5-Apr,5-May,NO GO,2:57:42,,,RECOMMEND
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,J,SPC,M,11B,1st,22-Feb,,,,,,,,,,,,,,,MED Drop (stomach virus),
,M,SFC,M,11B,2nd,Feb-87,,pass,,58,72,36:47:00,6,,,,,,,,LOM,
,A,SPC,M,91F,2nd,Feb-87,,fail,,55,63,42:52:00,6,,,,,,,,LOM,
,E,CPT,M,12A,1st,7EN,,fail,,50,71,43:05:00,6,,,,,,,,MED Drop (migraines no MEDs),
[$-409]13-Jan-00,M,PFC,M,11B,3nd,Feb-30,,fail,,39,61,43:15:00,6,,0-5,,,,,,LOM,
[$-409]14-Jan-00,G,SPC,M,11B,2nd,Feb-87,,fail,,55,74,37:47:00,6,,0-5,,,,,,LOM,
[$-409]09-Jan-00,M,PFC,M,11B,1st,22-Feb,,fail,,54,60,,6,,0-5,,,,,,MED Drop(pre knee injury),
[$-409]08-Jan-00,C,SPC,M,19D,2nd,Jan-89,,pass,,58,68,39:05:00,6,fail,5-Mar,3-5 time,5-Feb,,,,MED Drop,
1,S,SGT,M,92M,CAB,277,,fail,,51,58,41:58:00,6,fail,5-Mar,2-5 time,5-Apr,DNF,,,MED Drop (pos. fractured elbow),
[$-409]01-Feb-00,R,1LT,M,11A,1st,Jan-32,,fail,,44,70,45:48:00,6,,5-Mar,5-Apr,5-May,DNF,,,MED Drop (Previous shoulder injury),
