RN#,MI,RANK,GENDER,MOS,BDE,BN,UIC,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,L/N 3,12 MILE,12 MILE RETEST,Paperwork,ADMIN,
31,,PV2,M,11B,1BCT,Jan-32,,NO GO,,51,65,35:53:00,GO,,,,,,,GO,MED DROP,
9,M,SFC,M,19D,3BCT,Mar-89,,NO GO,,57,66,41:29:00,GO,NOGO,,,,,,GO,MED DROP,
15,A,1LT,M,67A,10SBDE,,,GO,,64,74,36:30:00,GO,,5-Mar,,,,,GO,LOM DROP,
32,J,PV2,M,11B,3BCT,4-Feb,,GO,,58,67,38:39:00,GO,,,,,,,GO,LOM DROP,
22,B,PV2,M,11B,1BCT,Jan-32,,NO GO ,,57,56,36:51:00,GO,,,,,,,GO,LOM DROP,
17,,PV2,M,11B,1BCT,Jan-32,,GO,,64,79,38:30:00,GO,,,,,,,GO,LOM DROP,
11,G,SPC,M,12B,1BCT,7th ENG,,GO,,57,66,35:17:00,GO,,,,,,,GO,LOM DROP,
3,C,SSG,M,15Q,3BCT,317 BEB,,NO GO,,55,59,37:24:00,GO,GO,,,,,,GO,LOM DROP,
,A,SPC,M,91F,2BCT,J/BSB,,,,,,,,,,,,,,,ATRRS Reserved: No Show,
,J,PV2,M,11C,1BCT,Jan-32,,,,,,,,,,,,,,,ATRRS Reserved: No Show,
,C,SGT,M,11B,2BCT,Feb-87,,,,,,,,,,,,,,,ATRRS Reserved: No Show,
,A,1LT,M,,1BCT,,,,,,,,,,,,,,,,ATRRS Reserved: No Show,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,J.,CPT,M,12A,1BCT,7th EN BN,,GO,,74,85,29:48:00,,,5-Apr,,,,,,,
,J.,1LT,M,35D,2BCT,2-14 IN,,NO GO,GO,59,63,36:37:00,,,,,,,,,,
,A,SPC,M,68W,2nd,210th,,,,,,,GO,,,,,,,,,
,C,SPC,M,13B,1BCT,3-6FA,,GO,,61,71,34:21:00,,,5-Apr,5-May,,,,,,
,W,2LT,M,12A,1BCT,7EN ,,GO,,62,75,35:42:00,,,,,,,,,,
,C,SPC,M,19D,1BCT,3-71 CAV,,,,,,,,,5-Apr,,,,,,,
,R,SPC,M,11B,1 BCT,Jan-87,,GO,,61,73,38:30:00,,,5-Apr,,5-Mar,,,,All Gated Events,
,B,1LT,M,13A,2BCT,Feb-87,,GO,,63,78,38:08:00,,,,,,,,,,
,A,PV2,M,11B,2BCT,Feb-87,,NO GO,,54,64,36:41:00,,,,,,,,,,
,A,,M,,2BCT,14-Feb,,GO,,67,74,32:00:00,,,5-Apr,5-May,,,,,,
,,1LT,M,11A,2BCT,Feb-87,,GO,,57,75,36:41:00,,,,,,,,,,
,,2LT,M,11A,2BCT,Feb-87,,NO GO,NO GO,55,77,39:42:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,5-Apr,,,,,
,,,,,,,,,,,,,,,,5-Apr,,,,,,
,,,,,,,,,,,,,,,,5-May,,,,,,
,,,,,,,,,,,,,,,,5-Apr,,,,,,
,,,,,,,,,,,,,,,,,5-Apr,,,,,
