RN#,RANK,MOS,BDE,UNIT,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,L/N 3,BUDDY RUN,12 MILE,12 MILE RETEST,ORDER 1,PATROL 1,ORDER 2,PATROL 2,ADMIN,UNIT CONTACTE,MISSINIG PAPERWOEK
49,SGT,12N,1BCt,7th EN BN 630th,NOGO,GO,47/57,66/71,36:57/36:25,6,GO,5-May,5-Apr,5-May,GO,2:54:36,,,,,,,,"MEDD/IMM, PANOREX"
53,SPC ,91B,10 CAB,"2-10 AHB E Co,",NOGO,GO,44/58,57/69,38:51/36:31,6,GO,5-Feb,0/5,5-Mar,GO,2:59:53,,,,,,,,"4187, DD93/SGLI, MED. PANOREX"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,SSG,11B,1BCT,2-22 INF Co.,NOGO,,58,56,36:49:00,6,GO,,,,,,,,,,, HIP  3 DAY TEMP PROF. (RPA) Prior Injure,"CSM, 1SG ",PANOREX
3,PFC,11B,2BCT,4-31INF HHC ,NOGO,,55,78,35:36:00,6,GO,,,,,,,,,,,NECK FOLLOW UP WITH TMC (RPA),"CSM, 1SG CONTACTED","4187, SGLI, MED/IMM, PANOREX"
9,SGT,68W, 4-10,2-30INF HHC,NOGO,,52,72,38:06:00,6,GO,,,,,,,,,,,ANKLE 3 DAY TEMP PROF,"CSM, 1SG CONTACTED","PHYS, MED.IMM, PANOREX"
33,PFC,11B,2BCT,4-31 INF A Co.,NOGO,,40,64,36:20:00,6,GO,,,,,,,,,,,KNEE 3 DAY TEMP PROF.,"CSM, 1SG CONTACTED",MED/IMM. CDRS MEMO
47,SPC ,11B, 4-10,3-89 CAV C TRP,NOGO,,54,55,36:19:00,6,GO,,,,,,,,,,,HIP 3 DAY TEMP PROF.,"CSM, 1SG CONTACTED",
50,CPL,11B,10-Apr,2-30INF HHC,NOGO,,45,61,38:25:00,6,GO,5-Apr,,,,,,,,,,HIP 3 DAY TEMP PROF.,"CSM, 1SG CONTACTED","4187, MED/IMM. PANOREX"
6,PFC,13B, 4-10,5-25FA B BTRY,NOGO,,51,66,38:56:00,6,GO,5-Feb,,,,,,,,,,ANKLE 3 DAY TEMP PROF,"CSM, 1SG CONTACTED","MED,IMM,PAN"
28,PFC,12B, 4-10,BSTB A Co,NOGO,,44,77,38:54:00,6,GO,5-May,,,,,,,,,,KNEE 3 DAY TEMP PROF.,"CSM, 1SG CONTACTED",MED/IMM.
37,SSG,19D,2BCT,1-89 CAV C TRP,NOGO,,40,56,43:10:00,NOGO,GO,5-Apr,5-Apr,,,,,,,,, KNEE 3 DAY TEMP PROF.,"CSM Parkeer, 1SG CONTACTED",NO PACKET
38,SPC ,13B,2BCT,2-15FA C BTRY,NOGO,,49,66,37:47:00,6,GO,5-Apr,,,,,,,,,,LEFT HIP RIGHT KNEE 3 DAY PROF.,"CSM, 1SG CONTACTED","DD93/SGLI, IMM, PANOREX"
39,PFC,13B,2BCT,2-15FA A BTRY,NOGO,,54,63,36:15:00,6,NOGO,0/5,,,,,,,,,,LEFT KNEE 3 DAY PROF.,"CSM, 1SG CONTACTED","PHYS, DD93/SGLI, MED/IMM. PANOREX"
44,2LT,12A,1BCT,7th EN BN HHC,NOGO,,30,79,38:31:00,NOGO,GO,5-May,,,,,,,,,,FRAC FOOT TEMP PROF.,"CSM, 1SG CONTACTED","PHYS(UNIT), MED.IMM. PANOREX"
31,SFC,11B,2BCT,2-87 INF D Co,GO,,57,84,34:10:00,6,GO,5-May,,,,,,,,,,HIP TEMP PROF. Prior Injury,"CSM, 1SG CONTACTED",EVERYTHING
4,SPC ,13D, 4-10,5-25FA C BTRY,NOGO,,50,49,39:14:00,6,GO,,,,,,,,,,,KNEE 3 DAY TEMP PROF.,"CSM, 1SG CONTACTED","MED,IMM"
51,SPC ,11B,2BCT,2-14 INF B. Co,GO,N/A,66,70,37:55:00,6,NOGO,5-May,5-May,5-Apr,,NOGO,,,,,,DUE TO HIGHBLOOD PRESSURE- NO WAIVER-RANGER PHY? Prior To PRC,"CSM Parkeer, 1SG CONTACTED","DD93/SGLI, MED/IMM"
41,1LT,91A,2BCT,2-87INF I Co.,GO,NA,58,70,36:10:00,6,GO,5-May,5-May,5-May,,NOGO,,,,,,BACK AND HEAD INJURY DURING OBSTACLE COURSE 3 DAY TEMP PROF.,"CSM, 1SG CONTACTED","4187 DD993/SGLII, MED/IMM, PANOREX"
29,SPC ,68W, 4-10,2-30INF HHC,NOGO,,53,68,37:14:00,6,GO,5-May,5-May,5-Mar,GO,2:57:22,,,,,,KNEE INJURED OBSTACLE COURSE 3 DAY TEMP PROF,UNIT CONACTED ,"MED,IMM,PAN"
35,SPC ,11B, 4-10,2-4 D Co,GO,NA,69,75,34:49:00,6,GO,5-May,5-May,5-May,GO,2:45:02,,,,,,KNEE INFECTED 3 DAY TEMP PROF,UNIT CONACTED ,"4187(UNIT), MED/IMM. PANOREX"
52,2LT,11A,2BCT,2-14 INF HHC,NOGO,,41,65,47:46:00,6,GO,5-May,5-Apr,5-Apr,GO,2:57:54,,,,,,"KNEE INJURY DURING LAND NAV, SEEN BY DOCTOR. WAS PUT ON QAUTERS",,"DD93/SGLI, MED/IMM, PANOREX"
34,SPC ,11B, 4-10,2-4 C Co,NOGO,,49,75,36:46:00,6,GO,5-May,5-May,5-May,GO,2:48:35,,,,,,KNEE SPRAIN 3 DAY TEMP PROF.,"CSM, 1SG CONTACTED",MED/IMM. PANOREX
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
54,SPC ,11B,1BCT,1-32INF C Co.,GO,N/A,57,72,36:54:00,6,GO,5-May,,,,,,,,,,SOLDIER SAID COULD NOT CONTINUE,"CSM, 1SG, AND CO "," MED, PANOREX"
7,SGT,11B,2BCT,2-87IN A Co.,,,,,,6,GO,,,,,,,,,,,SOLDIER SAID COULD NOT CONTINUE,"CSM, 1SG, CO",
42,SGT,13B, 4-10,5-25FA B BTRY,NOGO,,50,66,36:20:00,6,NOGO,5-Apr,,,,,,,,,,SOLDIER SAID COULD NOT CONTINUE,"CSM, 1SG, CO","IMM, PANOREX"
18,CPL,11B, 4-10,2-4 D Co,,,,,,6,GO,,,,,,,,,,,UNIT PULLED FROM COURSE BEFORE INPROCCESS,,
24,SPC ,15T,10 CAB,3-10 C Co.,NOGO,,52,78,36:10:00,6,GO,5-May,0/5,5-Feb,,,,,,,,Felt Unprepared-Difficulty Grasping Info,"CSM, 1SG, Platoon Sergeant","MED,IMM,DD93SGLI,PAN"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Still In Course,,,,,,,,,,,,,,,,,,,,,,,,
On Track For Ranger School,,,,,,,,,,,,,,,,,,,,,,,,
In course for training,,,,,,,,,,,,,,,,,,,,,,,,
dropped from course not in course,,,,,,,,,,,,,,,,,,,,,,,,
MED drop. Not in course,,,,,,,,,,,,,,,,,,,,,,,,
